participant_id,q1_raw_regulation,q1_code,q2_raw_ethical_use,q2_code,q3_raw_creativity,q3_code,q4_raw_advantages,q4_code
P1_0,Yes,Strict Regulatory Advocate,Yes,Broadly Permissive,"yes, the line is drawn when the person whose deepfake we are making has given consent",Ethical Realist,"Entertainment, news anchors could be replaced, leaving 0 room for human error and biases in tonality",Commercial/Entertainment
P1_1,yes.,Strict Regulatory Advocate,"entertainment
",Broadly Permissive,yes. ,Innovation Optimist,entertainment.,Commercial/Entertainment
P1_2,Yes ,Strict Regulatory Advocate,Education and entertainment ,Broadly Permissive,Yes,Innovation Optimist,I don't know,Invalid/Unclear
P1_3,No,Conditional/Skeptic,everything,Broadly Permissive,Yes,Innovation Optimist,Many advantages,Invalid/Unclear
P1_4,"Yes, because it can easily be used to create harm to others.",Strict Regulatory Advocate,For comics and comedy sketches,Broadly Permissive,Yes. Drawing the line is whether it is within consent and law.,Ethical Realist,Using it to create satire sketches like the ones in newspapers,Commercial/Entertainment
P1_5,Yes as it can be misused,Strict Regulatory Advocate,i do not think deepfake has much use ethically,Highly Restrictive,i do not feel using deepfakes in movies would add much as similar things can be achieved by actors and makeup,Ethical Realist,i can not think of any,Invalid/Unclear
P1_6,"Yes, its cool",Invalid/Unclear,For entertainment mostly,Broadly Permissive,Yes,Innovation Optimist,I can merge my picture with an intelligent persons picture and then send him to give competetive exam on my behalf,Invalid/Unclear
P1_7,Yes. To protect the integrity and individuality of the citizens,Strict Regulatory Advocate,Yes if consent is available in situations such as marketing.,Highly Restrictive,"Yes to bring an image of your imagination to life. For educational and storytelling purposes and in stunts in movies, deepfakes can be used effictively.",Innovation Optimist,Things humans cannot do in real life,Commercial/Entertainment
P1_8,Yes it violates our privacy and it can be used for many various reasons,Strict Regulatory Advocate,For creativity ,Broadly Permissive,Yes,Innovation Optimist,Producing more dough,Invalid/Unclear
P1_9,Yes,Strict Regulatory Advocate,Education,Broadly Permissive,If used for scams,Ethical Realist,Education,Educational/Societal
P1_10,"Yes , Because I think it is breach of privacy",Strict Regulatory Advocate,In war situations,Highly Restrictive,Yes,Innovation Optimist,Education ,Educational/Societal
P1_11,"yes it should be , as it may be used for malpractice",Strict Regulatory Advocate,yes,Broadly Permissive,yes,Innovation Optimist,u can use it for creating video clips easily of urself without performing  much,Commercial/Entertainment
P1_12,YES. Deepfake tech can be used to manipulate facts.,Strict Regulatory Advocate,"Maybe education if rightly used, maybe in movies and stuff aswell.",Broadly Permissive,"It can be used for educational purposes or enhances storytelling in films, but bring back dead should not be allowed there is a line and we should respect that.",Ethical Realist,Better CGI? I am not sure.,Commercial/Entertainment
P1_13,"It should , helps create images and audio in times of need , might not use it much when asked immediately but uses might start coming out.",Conditional/Skeptic,Probably to badmouth or ruin the reputation of someone famous?,Highly Restrictive,"yeah , it can be used for that , that is useful nd drawing the lin occurs at creating things that happened and things that didnt.If you create things that didnt happen for fun , then thats ine but to circulate and make it seem real is wrong.",Ethical Realist,"better education boundaries and horizons nlocked for children who need visualization , you can imagine things better and overall its just fun.",Educational/Societal
